Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
Nebula-Galaxy,0x05E2,Combo Device DC/AC Inverter Ready,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,InverterReady,,
Nebula-Galaxy,0x05E3,Combo Device DC/AC Error Status,Table Only,FALSE,1,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,InverterErrorStatus,,
Nebula-Galaxy,0x05E4,Combo Device DC/AC Speed,Table and Graph,TRUE,0,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,Compressor Actual Speed,,
Nebula-Galaxy,0x05E5,Combo Device DC/AC Power,Table and Graph,TRUE,0,0,No Dependency,Technician,,579,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05E9,System State Zone1,Table Only,FALSE,1,0,ZoneConfiguration<0xF824>=1 OR ZoneConfiguration<0xF824>=2,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05E9,System State,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05EA,System State Zone2,Table Only,FALSE,1,0,ZoneConfiguration<0xF824>=2,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05F1,Evaporator Fan Usage Zone 1,Table and Graph,TRUE,0,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05F1,Evaporator Fan Usage,Table and Graph,TRUE,0,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05F2,Restart Differential Zone 1,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x05F2,Restart Differential,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
AMT,0x05FA,FlashLoad Source,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
Railblazer,0x05FA,FlashLoad Source,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
AMT,0x0617,System Output State,Table Only,TRUE,0,0,No Dependency,Technician,,"21, 22, 23, 24, 26, 32",FALSE,FALSE,FALSE,,,
AMT,0x0618,Zone 1 Output State,Table Only,TRUE,0,0,No Dependency,Technician,,"21, 22, 23, 24, 26, 32",FALSE,FALSE,FALSE,,,
AMT,0x0619,Zone 2 Output State,Table Only,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 1,Technician,,"21, 22, 23, 24, 26, 32",FALSE,FALSE,FALSE,,"P.Carr 29th Jan 24: 
updating dependency (previously had no dependency). ",
AMT,0x0622,Return Air Temperature - Zone 3,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","3, 280",FALSE,FALSE,FALSE,,,
AMT,0x0623,Discharge Air Temperature - Zone 3,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","4, 280",FALSE,FALSE,FALSE,,,
AMT,0x0624,Evaporator Coil Temperature - Zone 3,Graph and Table,TRUE,0,0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","2, 9, 280",FALSE,FALSE,FALSE,,,
AMT,0x0649,Zone 1 Run Time Hours,Table Only,FALSE,1,0,No Dependency,Technician,,64,FALSE,FALSE,TRUE,,,
AMT,0x064A,Zone 2 Run Time Hours,Table Only,FALSE,1,0,ZoneConfiguration<0xF824> is greater than 1,Technician,,64,FALSE,FALSE,TRUE,,,
AMT,0x064B,Remote Evap. Type - Zone 2,Table Only,FALSE,1,0,ZoneConfiguration<0xF824> is greater than 1,Technician,,"52, 67, 110, 112, 143",TRUE,FALSE,FALSE,,,
